Date ,Open ,High ,Low ,Close ,Adj Close ,Volume 
2-Jan-23,4910.00,4920.00,4820.00,4870.00,3978.86,100200100
3-Jan-23,4830.00,4900.00,4830.00,4850.00,3962.52,95136500
4-Jan-23,4850.00,4850.00,4770.00,4770.00,3897.16,188071000
5-Jan-23,4750.00,4760.00,4570.00,4640.00,3790.95,292142000
6-Jan-23,4550.00,4640.00,4550.00,4620.00,3774.60,175932000
9-Jan-23,4580.00,4640.00,4550.00,4590.00,3750.09,166164900
10-Jan-23,4550.00,4570.00,4410.00,4430.00,3664.88,282510000
11-Jan-23,4410.00,4430.00,4360.00,4380.00,3623.52,211610100
12-Jan-23,4480.00,4520.00,4410.00,4500.00,3722.79,210887800
13-Jan-23,4510.00,4530.00,4420.00,4480.00,3706.25,134592100
16-Jan-23,4430.00,4530.00,4420.00,4520.00,3739.34,172170900
17-Jan-23,4520.00,4580.00,4510.00,4560.00,3772.43,150577400
18-Jan-23,4560.00,4620.00,4560.00,4600.00,3805.52,178026000
19-Jan-23,4590.00,4630.00,4580.00,4610.00,3813.80,117204100
20-Jan-23,4630.00,4670.00,4620.00,4650.00,3846.89,116038300
24-Jan-23,4660.00,4680.00,4590.00,4620.00,3822.07,81964700
25-Jan-23,4620.00,4620.00,4550.00,4560.00,3772.43,84009300
26-Jan-23,4560.00,4620.00,4550.00,4590.00,3797.25,113840400
27-Jan-23,4600.00,4680.00,4600.00,4640.00,3838.61,178282600
30-Jan-23,4650.00,4680.00,4570.00,4610.00,3813.80,185972400
31-Jan-23,4610.00,4620.00,4570.00,4580.00,3788.98,280039200
1-Feb-23,4630.00,4690.00,4620.00,4680.00,3871.71,181849300
2-Feb-23,4650.00,4680.00,4600.00,4600.00,3805.52,145413400
3-Feb-23,4650.00,4780.00,4630.00,4750.00,3929.62,198479900
6-Feb-23,4780.00,4810.00,4680.00,4740.00,3921.34,141366300
7-Feb-23,4740.00,4790.00,4720.00,4750.00,3929.62,140923100
8-Feb-23,4710.00,4790.00,4710.00,4790.00,3962.71,168599500
9-Feb-23,4790.00,4840.00,4770.00,4810.00,3979.25,177400700
10-Feb-23,4840.00,4880.00,4770.00,4860.00,4020.62,181146600
13-Feb-23,4900.00,4900.00,4800.00,4800.00,3970.98,144569400
14-Feb-23,4820.00,4870.00,4810.00,4870.00,4028.89,120995200
15-Feb-23,4890.00,4890.00,4810.00,4870.00,4028.89,84568100
16-Feb-23,4890.00,4890.00,4850.00,4870.00,4028.89,69966200
17-Feb-23,4890.00,4890.00,4830.00,4880.00,4037.16,104019300
20-Feb-23,4900.00,4900.00,4840.00,4880.00,4037.16,88432500
21-Feb-23,4880.00,4880.00,4820.00,4820.00,3987.53,59319100
22-Feb-23,4790.00,4810.00,4730.00,4760.00,3937.89,107327900
23-Feb-23,4810.00,4810.00,4730.00,4800.00,3970.98,139144500
24-Feb-23,4800.00,4840.00,4760.00,4760.00,3937.89,46409300
27-Feb-23,4780.00,4810.00,4760.00,4810.00,3979.25,89918800
28-Feb-23,4760.00,4790.00,4670.00,4670.00,3863.43,273125500
1-Mar-23,4730.00,4750.00,4700.00,4720.00,3904.80,115578600
2-Mar-23,4750.00,4780.00,4720.00,4780.00,3954.43,59377900
3-Mar-23,4800.00,4800.00,4730.00,4760.00,3937.89,84777000
6-Mar-23,4790.00,4800.00,4780.00,4790.00,3962.71,78292000
7-Mar-23,4770.00,4850.00,4770.00,4840.00,4004.07,111953700
8-Mar-23,4850.00,4850.00,4820.00,4840.00,4004.07,125766100
9-Mar-23,4860.00,4870.00,4810.00,4810.00,3979.25,79549800
10-Mar-23,4820.00,4830.00,4800.00,4820.00,3987.53,125140500
13-Mar-23,4810.00,4870.00,4770.00,4830.00,3995.80,106769300
14-Mar-23,4770.00,4790.00,4690.00,4710.00,3896.52,192444400
15-Mar-23,4760.00,4770.00,4700.00,4700.00,3888.25,107761200
16-Mar-23,4700.00,4750.00,4640.00,4730.00,3913.07,155984500
17-Mar-23,4770.00,4900.00,4750.00,4900.00,4053.71,267753300
20-Mar-23,4840.00,4880.00,4820.00,4880.00,4037.16,113829400
21-Mar-23,4870.00,4920.00,4840.00,4900.00,4053.71,214639300
24-Mar-23,4750.00,4820.00,4720.00,4770.00,4141.60,266103900
27-Mar-23,4750.00,4790.00,4720.00,4740.00,4115.55,144925200
28-Mar-23,4740.00,4780.00,4740.00,4770.00,4141.60,105217100
29-Mar-23,4800.00,4820.00,4770.00,4810.00,4176.33,141800500
30-Mar-23,4810.00,4810.00,4740.00,4750.00,4124.23,98847200
31-Mar-23,4730.00,4750.00,4710.00,4730.00,4106.87,161561800
3-Apr-23,4770.00,4800.00,4760.00,4800.00,4167.64,133511700
4-Apr-23,4800.00,4820.00,4760.00,4820.00,4185.01,88097800
5-Apr-23,4810.00,4880.00,4800.00,4830.00,4193.69,119316500
6-Apr-23,4860.00,4860.00,4820.00,4840.00,4202.37,88012300
10-Apr-23,4860.00,4860.00,4820.00,4860.00,4219.74,58886800
11-Apr-23,4860.00,4890.00,4830.00,4880.00,4237.10,67275600
12-Apr-23,4950.00,4950.00,4890.00,4930.00,4280.52,194839900
13-Apr-23,4950.00,5000.00,4930.00,4980.00,4323.93,141279800
14-Apr-23,5050.00,5100.00,5000.00,5075.00,4406.42,190097200
17-Apr-23,5075.00,5075.00,4960.00,4990.00,4332.61,121231300
18-Apr-23,4990.00,5025.00,4950.00,4950.00,4297.88,95747700
